"COUNTRY","Country","Continent","Region","LifeExpectancy","GNI","IMR","Population","AirPollution","HomicidesRate","HospitalBeds","Internet","Physicians","HDI","Schooling1","Schooling2"
"68","GNQ","Equatorial Guinea","Africa","Sub-Saharan Africa",62.19166,13720,58.27996,1267.689,44.47,5.07777,21,13.94318,4.017,0.596,9.73494,5.910863
"69","GRC","Greece","Europe","Europe & Central Asia",81.09948,26890,3.58239,10760.421,14.04,1.39859,42,56,63.072,0.887,20.02878952,11.40853024
"70","GRD","Grenada","Americas","Latin America & Caribbean",72.88402,NA,14.52856,107.825,22.87,6.5974,35.70899,42.09026,14.363,0.795,18.66202035,9.032104
"71","GTM","Guatemala","Americas","Latin America & Caribbean",72.01939,2740,20.0554,16913.503,30.47,7.60238,4.41363,16,12.407,0.627,10.56245041,5.681300163
"72","GUY","Guyana","Americas","Latin America & Caribbean",65.6929,2900,23.78142,777.859,23.14,24.72567,17.14725,34.30804,14.238,0.714,12.50272216,8.617477
"73","HKG","China, Hong Kong Special Administrative Region","Asia","East Asia & Pacific",NA,NA,NA,7391.7,NA,NA,NA,NA,NA,0.952,17.27816963,12.22620964
"74","HND","Honduras","Americas","Latin America & Caribbean",71.93507,1870,13.94446,9265.067,25.47,66.9019,6.42629,18.11987,5.001,0.621,10.13281417,7.088479996
"75","HRV","Croatia","Europe","Europe & Central Asia",78.63747,13890,3.87191,4125.7,17.26,1.08032,55.397,63,34.651,0.858,15.11209965,12.19108434
"76","HTI","Haiti","Americas","Latin America & Caribbean",64.05315,NA,46.65528,10981.229,17.56,20.68359,7.06974,10.8703,2.343,0.535,9.7,5.554
"77","HUN","Hungary","Europe","Europe & Central Asia",76.44219,12860,3.36016,9781.127,16.04,1.71515,70.1,72,60.636,0.846,15.0336281,12.24958992
"78","IDN","Indonesia","Asia","East Asia & Pacific",71.30966,2500,19.5476,263991.379,19.05,2.54813,10.4,15.36,6.228,0.705,13.74889386,8.556509972
"79","IND","India","Asia","South Asia",70.78756,1260,27.01217,1339180.127,68.76,1.90599,5.3,12.58006,7.352,0.633,11.87462044,6.655109195
"80","IRL","Ireland","Europe","Europe & Central Asia",81.84092,41720,2.61939,4813.608,8.01,0.4316,29.7,79,34.896,0.945,18.94522095,11.58222303
"81","IRN","Iran (Islamic Republic of)","Asia","Middle East & North Africa",77.34517,4520,11.13986,81162.788,34.45,4.88705,15.6,25.99764,15.844,0.774,14.61524963,10.63645314
